Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default.Labels,ID
576.189,893.182,342.525,µm,Spot,Position,1,,0
441.02,106.785,371.499,µm,Spot,Position,1,,1
430.839,106.586,380.739,µm,Spot,Position,1,,2
443.694,99.6545,384.054,µm,Spot,Position,1,,3
420.452,106.888,389.586,µm,Spot,Position,1,,4
433.266,100.393,393.521,µm,Spot,Position,1,,5
423.148,102.049,402.887,µm,Spot,Position,1,,6
436.617,96.9747,406.36,µm,Spot,Position,1,,7
495.619,105.723,352.54,µm,Spot,Position,1,,8
509.284,103.245,354.017,µm,Spot,Position,1,,9
473.914,105.412,357.951,µm,Spot,Position,1,,10
486.406,101.405,360.172,µm,Spot,Position,1,,11
500.539,98.2658,362.089,µm,Spot,Position,1,,12
463.881,101.893,365.625,µm,Spot,Position,1,,13
477.224,98.1167,368.611,µm,Spot,Position,1,,14
491.062,94.6241,371.131,µm,Spot,Position,1,,15
505.013,93.411,373.719,µm,Spot,Position,1,,16
453.983,100.175,374.997,µm,Spot,Position,1,,17
467.034,95.6773,377.72,µm,Spot,Position,1,,18
481.655,92.2098,381.253,µm,Spot,Position,1,,19
495.837,90.3084,383.69,µm,Spot,Position,1,,20
457.554,95.4126,387.529,µm,Spot,Position,1,,21
471.503,91.431,390.541,µm,Spot,Position,1,,22
486.381,88.9044,393.171,µm,Spot,Position,1,,23
501.106,88.1292,395.942,µm,Spot,Position,1,,24
446.942,95.5613,396.903,µm,Spot,Position,1,,25
461.665,91.8101,400.519,µm,Spot,Position,1,,26
476.367,88.524,403.58,µm,Spot,Position,1,,27
491.65,87.5703,406.607,µm,Spot,Position,1,,28
523.131,103.116,355.586,µm,Spot,Position,1,,29
536.6,103.374,357.006,µm,Spot,Position,1,,30
549.823,106.718,358.813,µm,Spot,Position,1,,31
514.032,97.2372,363.801,µm,Spot,Position,1,,32
528.556,97.0842,365.99,µm,Spot,Position,1,,33
542.886,100.151,367.456,µm,Spot,Position,1,,34
556.464,103.897,368.773,µm,Spot,Position,1,,35
520.23,92.8525,375.681,µm,Spot,Position,1,,36
534.506,94.5932,377.597,µm,Spot,Position,1,,37
548.766,97.341,378.935,µm,Spot,Position,1,,38
562.806,101.228,379.466,µm,Spot,Position,1,,39
510.905,90.0392,385.656,µm,Spot,Position,1,,40
525.991,90.6173,388.183,µm,Spot,Position,1,,41
540.729,92.8391,389.752,µm,Spot,Position,1,,42
554.933,96.67,390.817,µm,Spot,Position,1,,43
569.393,101.205,391.063,µm,Spot,Position,1,,44
516.418,88.2122,398.534,µm,Spot,Position,1,,45
531.533,89.4369,400.349,µm,Spot,Position,1,,46
546.707,92.7747,402.14,µm,Spot,Position,1,,47
561.737,96.8035,402.42,µm,Spot,Position,1,,48
582.22,106.809,391.116,µm,Spot,Position,1,,49
575.531,102.109,402.843,µm,Spot,Position,1,,50
378.777,141.458,373.854,µm,Spot,Position,1,,51
367.122,142.014,381.514,µm,Spot,Position,1,,52
348.471,155.119,385.142,µm,Spot,Position,1,,53
376.962,133.053,386.751,µm,Spot,Position,1,,54
356.68,144.875,389.887,µm,Spot,Position,1,,55
338.159,157.827,393.267,µm,Spot,Position,1,,56
366.464,136.195,395.061,µm,Spot,Position,1,,57
320.22,172.734,396.171,µm,Spot,Position,1,,58
376.665,126.859,398.751,µm,Spot,Position,1,,59
