Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
444.802,102.383,332.293,µm,Spot,Position,1,0
433.094,98.6618,341.525,µm,Spot,Position,1,1
506.713,96.7451,323.168,µm,Spot,Position,1,2
491.799,99.372,322.071,µm,Spot,Position,1,3
468.462,99.6681,326.695,µm,Spot,Position,1,4
481.562,92.6949,329.588,µm,Spot,Position,1,5
496.473,88.1437,332.288,µm,Spot,Position,1,6
457.032,94.2252,335.395,µm,Spot,Position,1,7
471.29,86.98,340.02,µm,Spot,Position,1,8
521.047,95.6983,325.243,µm,Spot,Position,1,9
534.497,95.9396,326.833,µm,Spot,Position,1,10
548.731,97.9236,328.869,µm,Spot,Position,1,11
563.472,101.93,331.681,µm,Spot,Position,1,12
511.694,86.2643,334.525,µm,Spot,Position,1,13
526.346,85.4119,337.334,µm,Spot,Position,1,14
541.547,86.1827,339.224,µm,Spot,Position,1,15
557.025,89.3707,341.122,µm,Spot,Position,1,16
572.07,95.6962,342.34,µm,Spot,Position,1,17
584.623,104.532,342.428,µm,Spot,Position,1,18
421.765,107.721,338.327,µm,Spot,Position,1,19
668.372,879.648,339.964,µm,Spot,Position,1,20
507.378,912.283,339.219,µm,Spot,Position,1,21
554.565,909.62,326.309,µm,Spot,Position,1,22
568.687,913.412,328.587,µm,Spot,Position,1,23
531.029,911.532,332.51,µm,Spot,Position,1,24
545.17,917.047,335.755,µm,Spot,Position,1,25
560.228,921.367,339.714,µm,Spot,Position,1,26
520.7,918.211,342.389,µm,Spot,Position,1,27
577.932,904.945,320.588,µm,Spot,Position,1,28
592.919,904.908,321.685,µm,Spot,Position,1,29
607.558,902.375,323.497,µm,Spot,Position,1,30
620.754,898.9,325.18,µm,Spot,Position,1,31
634.023,893.853,326.547,µm,Spot,Position,1,32
585.034,915.171,331.719,µm,Spot,Position,1,33
600.606,913.944,333.941,µm,Spot,Position,1,34
615.468,911.058,336.344,µm,Spot,Position,1,35
629.66,906.112,337.485,µm,Spot,Position,1,36
576.114,922.819,342.378,µm,Spot,Position,1,37
647.63,887.273,329.209,µm,Spot,Position,1,38
643.991,899.471,338.641,µm,Spot,Position,1,39
657.169,890.567,339.635,µm,Spot,Position,1,40
374.897,106.154,379.047,µm,Spot,Position,1,41
376.078,99.7657,394.981,µm,Spot,Position,1,42
364.572,103.493,405.179,µm,Spot,Position,1,43
410.192,106.126,346.971,µm,Spot,Position,1,44
421.842,96.529,351.961,µm,Spot,Position,1,45
435.043,87.901,357.025,µm,Spot,Position,1,46
398.152,104.604,357.78,µm,Spot,Position,1,47
410.395,95.3943,362.508,µm,Spot,Position,1,48
423.874,86.9911,368.023,µm,Spot,Position,1,49
386.489,105.239,368.327,µm,Spot,Position,1,50
438.377,79.6346,372.89,µm,Spot,Position,1,51
398.987,95.6421,373.487,µm,Spot,Position,1,52
412.298,87.4009,378.637,µm,Spot,Position,1,53
426.619,80.1493,383.667,µm,Spot,Position,1,54
387.77,96.8669,384.41,µm,Spot,Position,1,55
442.492,74.4189,388.539,µm,Spot,Position,1,56
401.307,88.896,390.028,µm,Spot,Position,1,57
415.75,81.7056,395.151,µm,Spot,Position,1,58
431.272,75.4343,399.699,µm,Spot,Position,1,59
389.763,91.388,400.517,µm,Spot,Position,1,60
404.415,84.306,405.775,µm,Spot,Position,1,61
486.012,82.4892,343.046,µm,Spot,Position,1,62
501.757,79.4572,346.056,µm,Spot,Position,1,63
446.253,89.8321,346.638,µm,Spot,Position,1,64
460.082,83.2104,350.358,µm,Spot,Position,1,65
475.726,77.7348,354.769,µm,Spot,Position,1,66
491.487,74.5223,357.709,µm,Spot,Position,1,67
507.174,72.9426,360.63,µm,Spot,Position,1,68
449.542,80.5266,361.641,µm,Spot,Position,1,69
464.345,75.373,365.788,µm,Spot,Position,1,70
480.356,71.415,369.987,µm,Spot,Position,1,71
496.752,69.16,372.996,µm,Spot,Position,1,72
453.688,74.4012,377.349,µm,Spot,Position,1,73
469.222,70.3277,381.399,µm,Spot,Position,1,74
486.173,67.3294,385.371,µm,Spot,Position,1,75
502.916,66.1001,388.471,µm,Spot,Position,1,76
458.3,69.9893,392.947,µm,Spot,Position,1,77
475.074,66.8492,397.036,µm,Spot,Position,1,78
492.034,65.0949,400.887,µm,Spot,Position,1,79
508.722,64.9972,403.645,µm,Spot,Position,1,80
447.499,70.4752,404.806,µm,Spot,Position,1,81
517.379,78.1039,348.515,µm,Spot,Position,1,82
532.223,78.3268,350.908,µm,Spot,Position,1,83
548.564,80.5934,353.045,µm,Spot,Position,1,84
564.22,84.6569,354.621,µm,Spot,Position,1,85
522.987,72.4364,363.665,µm,Spot,Position,1,86
539.523,74.0639,365.666,µm,Spot,Position,1,87
555.437,77.2456,367.105,µm,Spot,Position,1,88
571.508,82.1408,367.667,µm,Spot,Position,1,89
512.862,68.4231,375.98,µm,Spot,Position,1,90
529.698,69.2356,378.591,µm,Spot,Position,1,91
546.085,71.95,379.942,µm,Spot,Position,1,92
562.193,75.6132,381.623,µm,Spot,Position,1,93
519.289,66.3547,391.115,µm,Spot,Position,1,94
536.063,68.3042,393.287,µm,Spot,Position,1,95
552.771,71.4181,394.89,µm,Spot,Position,1,96
569.57,76.1244,395.277,µm,Spot,Position,1,97
525.898,66.1836,405.92,µm,Spot,Position,1,98
543.14,68.9207,407.692,µm,Spot,Position,1,99
592.741,99.7976,354.002,µm,Spot,Position,1,100
579.081,91.0048,354.907,µm,Spot,Position,1,101
586.384,88.8909,368.057,µm,Spot,Position,1,102
600.709,97.4698,367.438,µm,Spot,Position,1,103
620.004,106.672,379.2,µm,Spot,Position,1,104
607.177,96.5702,380.57,µm,Spot,Position,1,105
578.448,81.2544,381.568,µm,Spot,Position,1,106
593.587,88.4555,381.697,µm,Spot,Position,1,107
614.12,97.6806,394.112,µm,Spot,Position,1,108
600.336,89.6121,395.347,µm,Spot,Position,1,109
585.443,82.1425,395.793,µm,Spot,Position,1,110
620.648,100.103,407.409,µm,Spot,Position,1,111
311.064,156.458,377.098,µm,Spot,Position,1,112
298.742,162.291,385.726,µm,Spot,Position,1,113
306.998,149.781,391.724,µm,Spot,Position,1,114
287.727,171.09,393.094,µm,Spot,Position,1,115
295.007,157.366,400.915,µm,Spot,Position,1,116
305.971,145.35,406.86,µm,Spot,Position,1,117
376.023,124.242,350.437,µm,Spot,Position,1,118
363.168,126.868,358.121,µm,Spot,Position,1,119
374.205,114.706,363.723,µm,Spot,Position,1,120
342.401,138.313,363.951,µm,Spot,Position,1,121
351.838,127.927,367.172,µm,Spot,Position,1,122
330.419,142.679,372.392,µm,Spot,Position,1,123
362.658,116.671,373.068,µm,Spot,Position,1,124
339.811,130.022,378.062,µm,Spot,Position,1,125
318.7,145.162,381.964,µm,Spot,Position,1,126
351.205,118.861,383.603,µm,Spot,Position,1,127
328.658,133.856,387.963,µm,Spot,Position,1,128
363.286,109.121,389.308,µm,Spot,Position,1,129
339.942,123.228,394.16,µm,Spot,Position,1,130
317.303,138.805,397.728,µm,Spot,Position,1,131
351.85,112.876,399.545,µm,Spot,Position,1,132
